% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=261133, Tue Aug 23 10:54:18 2022, <python>{}</python>
13 130 2.4322921588472095 0 0 2.587407636208138 2.5243828948547713 2.3843108887633595 2.5006852177959074 3.124196561135474 2.1373950987048564 2.232226450271429 1.9153189369953976 1.9308190135295364
14 140 2.1576265944203383 0 0 2.242095722105665 2.2112966353157906 2.1564490188565326 2.19935944706052 2.7319671355348083 1.8592711931110997 1.969281444744755 1.6256214656189631 1.664083904558321
15 150 2.4032377964524367 0 0 2.5871956842609523 2.460269213978911 2.5862776604408273 2.4642517637840653 3.1610094055060594 2.07861683059235 2.2457158536876407 1.7315260074695251 1.7926178888984081
16 160 2.7454422961958906 0 0 2.938453063043855 2.769316837414285 3.0530226446564517 2.8159207727857196 3.882452682478734 2.371884594983609 2.6740751801816955 1.9400394226468614 1.9220988110155037
17 170 2.7631288501032327 0 0 2.9018198702038847 2.7859822215830286 3.130951393268198 2.8871798930731245 3.907794062700221 2.4065415984919576 2.7095439866844777 1.8575912028437382 1.8947111873990206
18 180 2.5844454486625055 0 0 2.7255635888453402 2.5737313547426783 2.8847085450788015 2.6836876166554675 3.676771680276754 2.1954461550811315 2.5437664192254266 1.7018872779568495 1.7500198740169095
19 190 2.4868804513099696 0 0 2.594525870665423 2.4611951057075703 2.790418317307106 2.5205024213898395 3.7318683432960134 2.1404397248065825 2.382285638276535 1.6218619939635428 1.6109088975806036
20 200 2.5082213760575014 0 0 2.646151135920595 2.4235085314724896 2.8396247186025745 2.5490360743174065 3.804623853375476 2.128105632812347 2.404695527600583 1.617644863402213 1.542420715122424
21 210 2.654427382032118 0 0 2.8119261733205474 2.6284968477342794 3.088420953706385 2.7112276076100517 4.041355636673806 2.274928319759435 2.4937546959458436 1.6647254994651495 1.6026292532802626
22 220 2.575885679213636 0 0 2.753649580397243 2.593343078001824 3.055741526405195 2.628702448905627 3.905858598182901 2.215274282150627 2.363696227495276 1.5507049501219983 1.5097641154796362
23 230 2.5953425298295376 0 0 2.8165074337226557 2.603450958647279 3.047507110458051 2.6616057433050173 3.89759005225232 2.2395036493598526 2.5299730030962624 1.5076458916979725 1.4751286839755813
24 240 2.446756812670516 0 0 2.668800738538989 2.4487486148086077 2.8006429031833218 2.483123775859121 3.707525734121468 2.070436523453659 2.386049915913429 1.3797997243261293 1.3792625961096066
25 250 2.3245848124213944 0 0 2.557826488268605 2.3614944515733356 2.681578236786267 2.3593248600996986 3.7010164120062035 1.9332176922701176 2.227655254007017 1.2855166307553283 1.2500935244812665
26 260 2.1609630875105563 0 0 2.371647489156276 2.2049433090328217 2.493008587442797 2.1424364818005106 3.673708747819051 1.8013366364913275 2.0559494581371522 1.1787083171219237 1.1439194341995966
27 270 1.9672925673050998 0 0 2.1286942494731678 2.006527482188714 2.2906110512880598 1.9077437594777138 3.374261569720889 1.655572515370432 1.7945857283710134 1.042245333157148 1.0188190901236645
28 280 1.7244937411781567 0 0 1.8727381374534675 1.7772201460824268 2.0088286793097314 1.6591841091666835 2.9284304473392155 1.4492741283712942 1.5225752990787558 0.9025829666824718 0.8771424207682453
29 290 1.7045164156425312 0 0 1.841403102566015 1.7818874051419977 2.0872590040236925 1.6218395594218635 2.945669673440705 1.3938937856871105 1.5091468849317287 0.8521385903822702 0.8431492151320183
30 300 1.6522243143525421 0 0 1.7918021355881968 1.7248223621208663 2.0877839599969836 1.6013568372806386 2.8111203110198244 1.3456122021232628 1.4571798575247061 0.8094018290578129 0.7956394059636053
31 310 1.5955092554628114 0 0 1.6879387425632653 1.6771014630218797 1.9946817052226133 1.5383224404348133 2.736035994480075 1.3025787492205678 1.3243728776456167 0.7684354397240889 0.7440215121878359
32 320 1.637169687188557 0 0 1.6880896389218343 1.722176080084514 2.0259118170105426 1.5621729890557516 2.9355823927109252 1.3434723210611155 1.3791787741923718 0.78105687265441 0.7344041184940561
33 330 1.4530242959350568 0 0 1.4636280765713943 1.5235840185774074 1.7547865680628232 1.3747913226879747 2.6382219999630694 1.1797599881521612 1.2082822832196343 0.6811857518972925 0.6432192512656826
34 340 1.4096861475815048 0 0 1.3675060114005442 1.4953807901134935 1.631201510152734 1.3261106919580876 2.522086545012069 1.1260154820633956 1.221376333693492 0.6553895183164646 0.608725465125547
35 350 1.3105074924857274 0 0 1.2645666005215437 1.3895479880681707 1.52917906331833 1.2308254994947891 2.350951626207343 1.0709424711033224 1.1177946086154333 0.5811399516851168 0.5398964794214746
36 360 1.2044617571397798 0 0 1.1423169426372037 1.2544433730445188 1.4213862734611664 1.134670122859536 2.1879153328810954 0.9741349181691096 1.036205993407337 0.5193516124729013 0.4761562534692895
37 370 1.1707472565403365 0 0 1.122577047662793 1.2388454363359047 1.3845537240504924 1.1039276801184135 2.145118300723038 0.9543577651746281 0.990015564929338 0.486441583505805 0.45855729927121586
38 380 1.0698794924467994 0 0 1.0043890107544409 1.135632930970879 1.2175298566314985 0.9910410861326471 1.9798489036030362 0.8681301478915904 0.8639440264353077 0.4417362944262016 0.3974883726323533
39 390 1.0893554903253588 0 0 1.0207922984498379 1.1617298468222632 1.308752931256149 0.9981555654132326 2.077784179883153 0.8841820198018042 0.8433053898923666 0.444417168248513 0.39670661609807534
40 400 1.1387045057586729 0 0 1.0732837240377644 1.1834847417488674 1.4321445908258168 1.009079987450446 2.098436837113204 0.9257589267466434 0.8868479568378497 0.4618032047004701 0.4075512955156077
41 410 1.1565378232905563 0 0 1.0613718253054751 1.1915439622192041 1.525905228499479 1.009914296202193 2.1898983502689533 0.9394283768761453 0.8936349045547067 0.4572950779440449 0.40490207693861
42 420 1.131798886291826 0 0 1.0448661948701292 1.1657186589264614 1.5069544149377974 0.952997614763766 2.159967680674846 0.9100841492167772 0.8689855629399045 0.4478085075409923 0.3876266892338184
43 430 1.1277396166069058 0 0 1.0040499734868193 1.122347409597777 1.564318271926586 0.9630157592481424 2.1601070751149622 0.8880086801649211 0.8525045118965244 0.44412676272457646 0.36588044051330626
44 440 1.04544162820116 0 0 0.9329498513238662 1.036897029520833 1.4315390759244102 0.8634352420874881 1.9686286088980303 0.8006625747951734 0.7902137058774054 0.4001667465090677 0.33598591849845355
45 450 0.9695123137769852 0 0 0.8734732449307674 0.985799532724059 1.3248153128730629 0.7997352889462592 1.7860553425661256 0.7534567037402827 0.7157215847472292 0.36434780183539667 0.3035595820244382
46 460 0.8464711115504352 0 0 0.7593599228488709 0.8709240955930391 1.1638769648012253 0.6903480085629269 1.560972448585156 0.6449063812837013 0.6151703922104604 0.3096674908667875 0.2581994068929104
47 470 0.7454257884152813 0 0 0.665715685847992 0.7701570707293456 1.024882044933246 0.6035731852105372 1.3503070001134412 0.5488556894011037 0.5267862825062847 0.2705120640863756 0.2204836711306077
48 480 0.7536211713557187 0 0 0.6335723071292904 0.7731610035780694 1.0805479892289358 0.5892038659583493 1.3772458250999542 0.5526104355708282 0.5463380068387463 0.27930908276930827 0.22060866321050682
49 490 0.7155033423633718 0 0 0.6063072774477766 0.7332172434187052 1.0019874997495213 0.5805308370925046 1.2995734435503599 0.5068207121420717 0.49902230824661026 0.25898025202096003 0.20427230623957796
50 500 0.6457719183995457 0 0 0.5392579246115614 0.6585716848090692 0.9036001579040795 0.5244239612643664 1.1809746754920107 0.4531302365766187 0.44963810565561685 0.23650521766215368 0.18604090658861375
51 510 0.5860362251740391 0 0 0.49374463391178 0.6055353255638304 0.8355455340429647 0.46156675338751463 1.066680723270643 0.41237687012138236 0.40564295354196056 0.20922510216349285 0.16911460049425456
52 520 0.5604667877452142 0 0 0.4589347531163203 0.5881815208016212 0.7919079802299913 0.43553634881133113 1.0151606960771253 0.3825682836371261 0.3768429868538765 0.21057145524343032 0.16041148512561623
53 530 0.4931795477984285 0 0 0.3983240733236172 0.5040729006456528 0.7067284603748453 0.3803544244309561 0.8621761667248612 0.33673467927414974 0.3322523193797664 0.1870318186512872 0.13759272996126568
54 540 0.48978200182236015 0 0 0.39573937646210716 0.518054686777386 0.7207017688498755 0.3785743045868413 0.8695983728916054 0.33747410009457673 0.3247814194076623 0.1868520478374661 0.1345993002459332
55 550 0.5212104214240038 0 0 0.41729069145596615 0.5568859400694097 0.7785516519242672 0.4110046453862634 0.9261880486004264 0.35907060169238264 0.3414524606546607 0.1995313537529885 0.14378478505823378
56 560 0.5588404999673232 0 0 0.42470608258899967 0.6157556594852885 0.8559202437517034 0.440323359005167 0.9768091529362481 0.3860613184977047 0.3587886781185664 0.21607715269556846 0.1545858930863372
57 570 0.5427083742981712 0 0 0.3916430173932908 0.5972718498314732 0.8354709227296631 0.4261271463818618 0.9570741377044967 0.3720231710177839 0.345859123149349 0.19792482748441562 0.15447379832676797
58 580 0.5345481717876424 0 0 0.3852986212584159 0.5898024176371945 0.8116883552096091 0.3968059640100341 0.9518537195744303 0.35475915349119663 0.3268526159715241 0.19341544320488366 0.15366547403041844
59 590 0.5174714380407585 0 0 0.3601063040798012 0.5784532164188494 0.7769223482334574 0.36844119487041055 0.8926350555827074 0.33934924843200287 0.31514186173890435 0.1869768021725574 0.15088789137699962
60 600 0.46000244961199144 0 0 0.30981460669623834 0.5110041542314643 0.6843576818487084 0.3270258980891825 0.775635284541768 0.3027975664405287 0.2794183080612834 0.1591054691639214 0.1332425627482621
61 610 0.43390782578889714 0 0 0.2789553901359595 0.47290624403115705 0.6306075808714227 0.3055113828591964 0.7618899538263201 0.28536089724751224 0.24722149778858796 0.1468099787770018 0.12459635359760493
62 620 0.37411260285956327 0 0 0.2301035593293439 0.40896844109469715 0.5348519724235875 0.263303073468522 0.6634252485824118 0.24003993774057147 0.2092421384367334 0.12751966172139864 0.10363851443178698
63 630 0.3358879437769127 0 0 0.20310791931270994 0.36994534588908123 0.48023409846434917 0.2329977777833126 0.5836583471494746 0.21651322663385225 0.1845906048348674 0.11250412817128093 0.09392371803260625
64 640 0.3403245299647223 0 0 0.20161651281676127 0.3758809206448698 0.4967315152613596 0.23152833738097625 0.587153524155983 0.2144067634280459 0.18764318753478504 0.11659540861571165 0.0936531457850984
65 650 0.3628543137907307 0 0 0.21747878428718004 0.404964500821265 0.5359051412577867 0.24306023936111495 0.6156750718272014 0.2272961818265019 0.20021002515791678 0.1231090674701622 0.09922621092868403
66 660 0.3889292713865273 0 0 0.23654624041523686 0.42570159209659825 0.5815697847101393 0.25761444085248364 0.6705205247160935 0.2437597566196997 0.21033884261768043 0.13680287243737313 0.1069509509763457
67 670 0.38838721981690016 0 0 0.24594988672794926 0.424240448597284 0.5755533061842042 0.24843779860153248 0.6595563432417175 0.24244270416737565 0.2021673244102932 0.13901728382315423 0.10765663476405335
68 680 0.37167340827042605 0 0 0.23454137000343678 0.4023140519640781 0.5470242140905963 0.22295048196800216 0.6241602383059212 0.22883552357714032 0.18876501416169883 0.13529671569060453 0.10348371798874893
69 690 0.36231425133125167 0 0 0.22814919208103235 0.39005348919597355 0.5242397688221301 0.21808638885934145 0.613446349708001 0.21929831496497698 0.17943848024265646 0.1363520848316643 0.10106236787623182
70 700 0.3212723306514653 0 0 0.20217409392650856 0.3384867146846334 0.45583257640930586 0.1877246390902161 0.5353463024415452 0.19270348718311742 0.1541656579097207 0.11897730846886462 0.08830161443852888
71 710 0.3073008847202557 0 0 0.18934405547946964 0.3231977870245837 0.4268687858758991 0.1772712048424832 0.5202839154354778 0.18396214635584546 0.1431097571469007 0.11299660159455624 0.08530735715528641
72 720 0.28094758575730866 0 0 0.17302671365900488 0.29691322532826436 0.38623567164344613 0.16202947882415542 0.47187176022035704 0.16333527151354862 0.13088239976691315 0.10207597269137418 0.07837830805375556
73 730 0.2716263462635635 0 0 0.1662668815014713 0.2890544401109808 0.3669757062392911 0.15269155109879456 0.4616278460923403 0.156746959973784 0.12282693536080262 0.09866605361934638 0.07467732333507991
